iter	RMSE
0	354556.6406
1	347642.8829
2	340805.1971
3	334274.7101
4	327998.0762
5	321804.1707
6	315936.9208
7	310088.1151
8	304280.0979
9	298964.9833
10	293600.4429
11	288549.5987
12	283485.6399
13	279092.7053
14	274276.3906
15	269860.6407
16	265411.9715
17	261079.2155
18	256916.2248
19	253031.8119
20	249215.6679
21	245463.2355
22	241661.6248
23	238268.5917
24	234726.1913
25	231564.5451
26	228491.9975
27	225429.0486
28	222457.6584
29	219672.8199
30	217045.7925
31	214562.2073
32	211712.9766
33	208947.7536
34	206277.9471
35	203685.5821
36	201260.8832
37	198998.2146
38	196911.8906
39	194768.2461
40	192662.3874
41	190662.6665
42	188841.8627
43	186883.5339
44	185065.262
45	183382.0229
46	181359.9773
47	179423.4601
48	177820.9312
49	176064.0678
50	174640.8958
51	173031.8689
52	171544.2756
53	170199.0578
54	169000.8156
55	167542.0655
56	166261.2707
57	165006.7936
58	163785.2834
59	162505.1612
60	161174.0415
61	160073.7151
62	159079.7818
63	157901.557
64	156857.2401
65	155927.2469
66	154959.7753
67	154052.5402
68	153129.2567
69	152237.7306
70	151375.2261
71	150411.9275
72	149245.0188
73	148371.5012
74	147605.0453
75	146884.5994
76	146178.1919
77	145427.9874
78	144809.8306
79	144036.2531
80	143220.1665
81	142635.601
82	141955.8345
83	141156.6903
84	140447.7132
85	139848.3803
86	139304.531
87	138773.4205
88	138204.5914
89	137553.0794
90	137125.2409
91	136592.084
92	136110.8714
93	135545.7826
94	135091.4117
95	134617.028
96	134042.8048
97	133666.7247
98	133111.0418
99	132681.1948
100	132265.7468
101	131911.876
102	131539.0358
103	130903.9545
104	130476.1501
105	130147.2564
106	129771.1646
107	129184.322
108	128747.8249
109	128414.7299
110	128124.7845
111	127786.5412
112	127345.0489
113	126965.4301
114	126623.246
115	126309.3895
116	125984.6701
117	125703.8171
118	125415.1005
119	125148.2519
120	124626.0127
121	124346.8386
122	124029.5671
123	123711.4064
124	123408.9608
125	123140.5454
126	122885.914
127	122697.2881
128	122481.9934
129	122245.273
130	121970.1338
131	121728.685
132	121488.2442
133	121350.8382
134	121107.1955
135	120915.6607
136	120723.7947
137	120545.615
138	120334.8893
139	119974.9759
140	119766.56
141	119573.3853
142	119181.4487
143	119008.4995
144	118722.2155
145	118504.2286
146	118321.5301
147	118088.517
148	117903.4624
149	117686.9619
150	117443.2619
151	117110.6626
152	116922.1489
153	116737.8106
154	116554.4469
155	116382.9367
156	116238.0713
157	116102.249
158	115943.9974
159	115789.4848
160	115664.4253
161	115518.5967
162	115313.9198
163	115018.5457
164	114726.6823
165	114558.563
166	114465.9065
167	114163.6208
168	114012.9474
169	113751.9735
170	113603.7931
171	113444.2306
172	113284.3499
173	113142.5947
174	113004.4944
175	112826.512
176	112570.188
177	112430.3793
178	112285.1587
179	112132.306
180	111988.5896
181	111889.8058
182	111756.2917
183	111623.1586
184	111497.9745
185	111347.235
186	111195.7331
187	111062.0314
188	110949.3225
189	110791.0242
190	110598.8176
191	110486.8644
192	110402.257
193	110250.7054
194	110130.8023
195	109972.7609
196	109891.8425
197	109793.5387
198	109553.4649
199	109436.2224
200	109318.471
201	109205.6132
202	109096.6699
203	108996.1937
204	108906.044
205	108785.8004
206	108673.7302
207	108583.2401
208	108490.5086
209	108385.2502
210	108287.7362
211	108165.4961
212	108052.4441
213	107929.6145
214	107839.2668
215	107732.8946
216	107645.2219
217	107549.3215
218	107458.7736
219	107346.3151
220	107209.381
221	107137.4173
222	107074.8766
223	106929.2429
224	106828.2496
225	106744.4278
226	106669.609
227	106562.694
228	106441.7357
229	106365.6282
230	106281.4892
231	106206.0953
232	106007.975
233	105944.4127
234	105848.809
235	105745.196
236	105675.0253
237	105527.316
238	105454.6806
239	105381.9971
240	105308.89
241	105243.821
242	105169.3014
243	105088.0148
244	105004.4685
245	104932.1694
246	104854.3371
247	104776.9893
248	104662.118
249	104572.3975
250	104392.1829
251	104332.7012
252	104218.8559
253	104129.2815
254	104063.4777
255	103966.3956
256	103909.5246
257	103818.0978
258	103745.0543
259	103673.3117
260	103478.0884
261	103302.5267
262	103241.1287
263	103073.8214
264	102896.3055
265	102795.8631
266	102709.4689
267	102641.8212
268	102535.9572
269	102476.3791
270	102399.6343
271	102322.2069
272	102285.6092
273	102163.7282
274	102020.6801
275	101941.8762
276	101868.6623
277	101785.5226
278	101697.9022
279	101612.6336
280	101544.8649
281	101387.8172
282	101303.7745
283	101217.8885
284	101146.9765
285	101076.9715
286	101010.1473
287	100918.147
288	100857.4335
289	100786.7881
290	100719.021
291	100653.6855
292	100576.8068
293	100478.8214
294	100386.9582
295	100323.3732
296	100249.714
297	100154.8821
298	100016.3137
299	99959.85671
300	99889.49632
301	99771.65565
302	99692.88054
303	99623.08457
304	99531.27427
305	99470.55958
306	99404.93166
307	99354.30345
308	99268.65355
309	99190.04475
310	99127.70736
311	99063.21616
312	98864.75998
313	98818.93548
314	98750.6956
315	98697.73479
316	98562.86746
317	98450.99195
318	98360.45812
319	98246.38794
320	98158.77031
321	98096.90067
322	97943.90919
323	97881.85115
324	97762.72672
325	97708.53229
326	97638.76032
327	97556.64087
328	97484.08337
329	97401.37043
330	97328.7576
331	97276.42467
332	97221.12499
333	97177.95069
334	97034.18561
335	96987.4463
336	96936.2277
337	96862.53498
338	96749.61668
339	96694.22026
340	96639.1282
341	96549.69242
342	96437.76482
343	96319.90635
344	96240.87472
345	96203.65591
346	96115.48465
347	95981.16294
348	95894.30435
349	95778.97659
350	95713.62778
351	95617.54932
352	95568.57865
353	95498.83937
354	95449.18379
355	95360.98531
356	95275.17336
357	95183.23924
358	95126.14575
359	95079.70741
360	95031.81617
361	94993.11668
362	94903.01057
363	94793.07041
364	94749.88712
365	94681.84669
366	94629.17063
367	94537.74465
368	94488.58628
369	94434.02243
370	94386.46652
371	94313.29591
372	94221.13714
373	94154.5053
374	94050.59026
375	93968.83121
376	93909.69879
377	93844.02658
378	93774.47984
379	93692.32003
380	93629.11314
381	93574.01218
382	93536.19207
383	93493.98231
384	93434.41509
385	93358.62473
386	93267.3459
387	93189.41672
388	93123.56005
389	93070.60605
390	93008.1942
391	92928.73984
392	92862.56099
393	92805.52116
394	92750.42406
395	92704.27254
396	92614.06205
397	92556.84225
398	92515.01734
399	92455.41196
400	92385.24189
401	92327.18313
402	92239.3058
403	92151.77362
404	92106.99752
405	92036.96893
406	91973.2627
407	91899.85318
408	91837.28575
409	91773.421
410	91720.1819
411	91629.82624
412	91567.4109
413	91521.39416
414	91433.07641
415	91389.06469
416	91330.42591
417	91258.75995
418	91203.56962
419	91159.66213
420	91106.34653
421	91004.76168
422	90934.82176
423	90869.99697
424	90802.51874
425	90738.84476
426	90678.84606
427	90630.60435
428	90583.39221
429	90525.20225
430	90496.00951
431	90456.36115
432	90410.98214
433	90358.08693
434	90301.6215
435	90243.19588
436	90177.79076
437	90108.16832
438	90065.99959
439	90025.52472
440	89955.9789
441	89870.14063
442	89805.81467
443	89745.26393
444	89706.49907
445	89666.22435
446	89619.0921
447	89558.12077
448	89476.94801
449	89440.65211
450	89376.43144
451	89319.4191
452	89248.32851
453	89157.77606
454	89109.34957
455	89042.0717
456	89008.82964
457	88962.61852
458	88920.92291
459	88885.40295
460	88836.22955
461	88770.48155
462	88741.74986
463	88704.18796
464	88635.11041
465	88579.26596
466	88505.67107
467	88476.06807
468	88430.71215
469	88376.85671
470	88284.11055
471	88224.10003
472	88185.54895
473	88108.33858
474	88059.71015
475	87992.77406
476	87936.1787
477	87896.97724
478	87840.59597
479	87792.51584
480	87747.8784
481	87696.40849
482	87631.13488
483	87592.88191
484	87534.40543
485	87480.58281
486	87443.29982
487	87377.97548
488	87302.27515
489	87239.56272
490	87196.55297
491	87157.67653
492	87113.56851
493	87058.74968
494	87017.86664
495	86959.61666
496	86916.08934
497	86858.19186
498	86812.65935
499	86777.63373
