iter	Passed	Remaining
0	2	1126
1	4	1093
2	6	1080
3	8	1080
4	10	1071
5	12	1061
6	14	1050
7	17	1045
8	19	1039
9	20	1028
10	23	1026
11	25	1021
12	27	1020
13	29	1018
14	31	1017
15	33	1014
16	35	1008
17	37	1012
18	39	1010
19	42	1009
20	44	1005
21	46	1003
22	48	1001
23	50	1000
24	52	1002
25	54	999
26	56	997
27	58	994
28	61	992
29	63	990
30	65	989
31	67	987
32	69	983
33	71	980
34	73	978
35	75	975
36	77	972
37	79	971
38	82	970
39	84	967
40	86	965
41	88	963
42	90	959
43	92	957
44	94	954
45	96	953
46	98	953
47	101	951
48	103	949
49	105	946
50	107	945
51	109	944
52	111	942
53	113	941
54	116	939
55	118	936
56	120	934
57	122	932
58	124	930
59	126	928
60	128	925
61	130	924
62	132	922
63	135	920
64	137	917
65	139	915
66	141	914
67	143	911
68	145	910
69	147	908
70	149	906
71	152	904
72	154	901
73	156	899
74	158	896
75	160	894
76	162	892
77	164	890
78	166	887
79	168	885
80	170	882
81	172	880
82	174	878
83	176	876
84	179	874
85	181	872
86	183	869
87	185	867
88	187	866
89	189	863
90	191	862
91	194	860
92	196	859
93	198	857
94	200	854
95	202	852
96	204	850
97	206	847
98	208	845
99	210	843
100	213	842
101	215	839
102	217	836
103	219	834
104	221	832
105	223	830
106	225	828
107	227	826
108	229	824
109	232	822
110	234	821
111	236	819
112	238	817
113	240	814
114	242	813
115	244	810
116	247	808
117	249	806
118	251	804
119	253	803
120	255	800
121	257	798
122	259	796
123	261	793
124	263	791
125	266	792
126	269	790
127	271	788
128	273	785
129	275	783
130	277	781
131	279	779
132	281	776
133	282	772
134	284	770
135	286	767
136	289	766
137	291	764
138	293	761
139	295	759
140	297	757
141	299	755
142	301	753
143	303	751
144	306	749
145	308	747
146	310	745
147	312	743
148	314	740
149	316	738
150	318	736
151	320	734
152	323	732
153	325	730
154	327	728
155	329	726
156	331	723
157	333	721
158	335	719
159	337	717
160	339	715
161	341	712
162	343	710
163	345	708
164	347	706
165	350	704
166	352	702
167	354	700
168	356	698
169	358	696
170	360	694
171	362	691
172	364	689
173	367	687
174	369	685
175	371	683
176	373	680
177	375	678
178	377	676
179	379	674
180	381	672
181	383	670
182	385	667
183	387	665
184	389	663
185	391	661
186	393	659
187	396	657
188	398	655
189	400	653
190	402	651
191	404	649
192	406	647
193	408	644
194	411	642
195	413	640
196	415	638
197	417	636
198	419	634
199	421	632
200	423	630
201	425	627
202	427	625
203	429	623
204	431	621
205	433	619
206	436	617
207	438	615
208	440	612
209	442	611
210	444	608
211	446	606
212	448	604
213	450	602
214	453	600
215	455	598
216	457	596
217	459	593
218	461	591
219	463	589
220	465	587
221	467	585
222	469	583
223	471	581
224	473	579
225	476	577
226	478	575
227	480	572
228	482	570
229	484	568
230	486	566
231	488	564
232	491	562
233	493	560
234	495	558
235	497	556
236	499	554
237	501	552
238	504	550
239	506	548
240	508	545
241	510	543
242	511	541
243	513	539
244	515	536
245	517	534
246	520	532
247	522	530
248	524	528
249	526	526
250	528	524
251	530	522
252	532	520
253	535	518
254	537	515
255	539	513
256	541	511
257	543	509
258	545	507
259	547	505
260	549	503
261	551	501
262	553	499
263	556	497
264	558	494
265	560	492
266	562	490
267	564	488
268	566	486
269	568	484
270	570	481
271	572	479
272	574	477
273	576	475
274	578	473
275	580	471
276	582	468
277	584	466
278	586	464
279	588	462
280	590	460
281	592	458
282	594	456
283	596	454
284	599	451
285	601	449
286	603	447
287	605	445
288	607	443
289	609	441
290	611	439
291	613	436
292	615	434
293	617	432
294	619	430
295	621	428
296	623	426
297	625	424
298	628	422
299	630	420
300	632	417
301	634	415
302	636	413
303	638	411
304	640	409
305	642	407
306	644	405
307	646	403
308	649	401
309	651	399
310	653	396
311	655	394
312	657	392
313	659	390
314	661	388
315	663	386
316	665	384
317	667	382
318	669	380
319	672	378
320	674	375
321	676	373
322	678	371
323	680	369
324	682	367
325	684	365
326	687	363
327	689	361
328	691	359
329	693	357
330	695	355
331	697	353
332	700	351
333	702	349
334	704	347
335	706	344
336	708	342
337	710	340
338	713	338
339	715	336
340	717	334
341	719	332
342	721	330
343	723	328
344	725	326
345	727	324
346	730	321
347	732	319
348	734	317
349	736	315
350	738	313
351	741	311
352	743	309
353	745	307
354	747	305
355	749	303
356	751	301
357	754	299
358	756	296
359	758	294
360	760	292
361	762	290
362	764	288
363	766	286
364	768	284
365	770	282
366	772	279
367	774	277
368	776	275
369	778	273
370	780	271
371	782	269
372	784	267
373	787	265
374	789	263
375	791	260
376	793	258
377	795	256
378	797	254
379	799	252
380	801	250
381	803	248
382	805	246
383	808	244
384	810	241
385	812	239
386	814	237
387	816	235
388	818	233
389	820	231
390	823	229
391	825	227
392	827	225
393	829	223
394	831	220
395	833	218
396	835	216
397	837	214
398	839	212
399	841	210
400	843	208
401	845	206
402	847	204
403	849	201
404	851	199
405	854	197
406	856	195
407	858	193
408	860	191
409	862	189
410	864	187
411	867	185
412	869	183
413	871	181
414	873	178
415	875	176
416	877	174
417	879	172
418	881	170
419	884	168
420	886	166
421	888	164
422	890	162
423	892	159
424	894	157
425	897	155
426	899	153
427	901	151
428	903	149
429	905	147
430	907	145
431	909	143
432	911	141
433	913	138
434	915	136
435	917	134
436	920	132
437	922	130
438	924	128
439	926	126
440	928	124
441	931	122
442	933	120
443	935	117
444	937	115
445	939	113
446	941	111
447	944	109
448	946	107
449	948	105
450	950	103
451	952	101
452	954	99
453	956	96
454	958	94
455	960	92
456	963	90
457	965	88
458	967	86
459	969	84
460	971	82
461	974	80
462	975	77
463	977	75
464	979	73
465	982	71
466	984	69
467	986	67
468	988	65
469	990	63
470	993	61
471	995	59
472	997	56
473	999	54
474	1001	52
475	1003	50
476	1005	48
477	1007	46
478	1009	44
479	1011	42
480	1014	40
481	1016	37
482	1018	35
483	1020	33
484	1022	31
485	1025	29
486	1027	27
487	1029	25
488	1031	23
489	1033	21
490	1035	18
491	1037	16
492	1039	14
493	1041	12
494	1043	10
495	1045	8
496	1048	6
497	1050	4
498	1052	2
499	1054	0
