iter	RMSE
0	352588.1323
1	343566.6784
2	334998.6401
3	326629.1573
4	318554.2325
5	311148.6156
6	303534.6543
7	296661.086
8	290131.3457
9	283402.2007
10	277016.7958
11	271046.6811
12	265546.1322
13	260297.3127
14	255348.6583
15	250498.0527
16	245879.0292
17	240921.9961
18	236350.3913
19	231917.653
20	227916.668
21	224020.461
22	220530.6154
23	216862.0307
24	213745.1064
25	210532.8405
26	207359.7601
27	204217.2418
28	201432.9011
29	198351.4485
30	195776.2204
31	193453.8044
32	191046.7105
33	188775.6585
34	186523.2633
35	184510.6161
36	182279.2408
37	180467.8408
38	178171.5117
39	176320.4465
40	174597.5275
41	172463.3797
42	170769.0692
43	169011.5952
44	167439.237
45	165983.8661
46	164213.51
47	162462.2275
48	161136.9549
49	159532.4545
50	158373.1089
51	157105.1578
52	155739.2408
53	154740.5363
54	153750.7949
55	152703.3122
56	151359.4037
57	150265.8326
58	149146.5774
59	147896.8959
60	147101.3513
61	146191.7115
62	145397.8828
63	144571.9887
64	143795.0629
65	143017.9455
66	142318.3484
67	141717.6928
68	140721.7542
69	139850.4504
70	139226.7542
71	138713.6785
72	138161.5211
73	137557.0087
74	136688.9595
75	136118.6508
76	135558.9323
77	134777.7914
78	134236.4954
79	133946.9918
80	133528.7321
81	133122.2808
82	132320.7053
83	131673.0315
84	131226.6407
85	130749.0525
86	130397.8535
87	130053.9256
88	129678.0682
89	129371.5274
90	129107.8214
91	128712.4155
92	128286.1128
93	127900.5323
94	127538.6051
95	127158.9112
96	126860.294
97	126567.9615
98	126208.1803
99	125872.2368
100	125642.3176
101	125237.4244
102	125022.6062
103	124668.8258
104	124445.2686
105	124168.5026
106	123915.6267
107	123742.2389
108	123498.3225
109	123269.1834
110	122894.4471
111	122736.6851
112	122287.5546
113	122066.6641
114	121826.3111
115	121720.2292
116	121421.6174
117	121230.2816
118	120945.9783
119	120737.0178
120	120505.4335
121	120368.3506
122	120193.9999
123	119811.4917
124	119600.1918
125	119353.3661
126	118986.2417
127	118781.0877
128	118601.5791
129	118444.1424
130	118238.2849
131	118046.6717
132	117834.8187
133	117617.3908
134	117505.9085
135	117363.2458
136	117133.8908
137	116969.1745
138	116809.1857
139	116671.5383
140	116513.4717
141	116136.2977
142	116007.1692
143	115708.5949
144	115543.6424
145	115336.7466
146	115080.5625
147	114947.3647
148	114784.2617
149	114449.1908
150	114316.7739
151	114197.3209
152	114031.0883
153	113865.6761
154	113735.4755
155	113620.4457
156	113514.2897
157	113226.983
158	113094.5909
159	112969.7133
160	112846.339
161	112653.2752
